Translated_TEXT,Sentiment
"Filed a complaint several times, suddenly looking for the message to delete it, my money is not working",negative
"it's been quite a long time using the application, have you ever gotten any rewards",positive
"very satisfied, good luck going to tomorrow",positive
"so it's easier to be happy, thank you for helping when it's difficult",positive
don't cancel the order or the money,positive
All transaction features pay once you pay for the basket feature,negative
"then the level of service quality, the first limit is immediately large, the second limit is large, hopefully innovation will continue to be better",positive
"just tried it, it's easy and the benefits are many",positive
"the list of ticket update tickets has run out, so the list failed to buy a ticket for the Spider Man universe, the evil was crushed here, the developer became Spiderman's enemy",negative
How come there's no immediate notification that you've paid via wacm or email,negative
Can you get a voucher that's much cheaper to pay for a ticked flight hotel voucher,negative
good will job and the best process,positive
fly cancel good heart lion air ticket prices when ordering far in advance cheaper day ticket prices sorry you guys lion air lost subscribe give up using you guys,positive
"The customer service is great, really helps with rescheduling",positive
it's my first time take it easy,positive
virtual month account error always use it's useless the limit is million contacting cs it's free good tell me to check when it's a month to check when but the problem is solved even though every day I check when,negative
"it's just too late for the DC terror day in the morning, it's annoying when you use the application, it's a fine problem, the debt collector's problem is polite",negative
"It's not clear that the application has been updated, checks for tickets, it's not even available, more and more updates are getting more and more unclear",negative
good application if there are many coupon vouchers,positive
it's useless paylater if you don't use it just delete the data it's useless or not,negative
"clear, fast, straightforward, easy to operate, trust",positive
"it's really fast, the process is complicated, it's safe",positive
Very helpful in buying tickets,positive
"Try registering payletr, but it's refusing, right? Fill in the correct data, the data is still good",positive
"Why isn't the money balance withdrawing the account number again, please try dancing again",positive
"good, easy for customers to see room price details",positive
alhamdulillah with active activities it runs smoothly,positive
"To be honest, the application is very helpful for using the paylater, the long end of the month using the paylater is very disappointed, I was never late to pay the paylater, I even got the millionth limit, the paylater payment system is good, thank you",positive
"said the point of buying points, I was always funny",positive
"The truth is, when the price for the redoorz room arrived, it was a million, it was really bad",negative
"it's very easy to do transactions, it really helps with the plan",positive
"holiday booking via easy, many choose",positive
"Bad service, customer complaints, good service, recommended application for",negative
Paylater account has to pay on a secure basis,positive
"very good, the response is quite fast, the rescheduling service is very helpful",positive
I want to list the villa market that manages what here,positive
"satisfied, there are lots of benefits, bonuses, bonuses, it's a loss if you don't download, if it's cool, the paylater is solid",positive
"cs is the slowest, doesn't respond, instead spends credit, doesn't really call in minutes, doesn't pick up chat, doesn't respond to classes, how come it can be less cs",positive
"looking for a bus from Singaraja, Semarang, it's always useless, payleter but don't use it",negative
"cool application, lots of promos",positive
"very easy to use, tickets have lots of promos",positive
recommended for booking hotel tickets,positive
Highly recommend for those who like to walk,positive
"very helpful, lots of nice promos",positive
easy to find accommodation outside the city,positive
"booking tickets is easier, it's really very helpful",positive
mo where it's easy now as long as you open the application now it's paylater,positive
good application really helps traveling where good poko,positive
buying tickets just got easier,positive
Applications that are responsible for selling admission tickets to HK Ocean Park issue want clocks to be refunded selling afternoon hours Watanabe closed at cs professional scam never use apps very disappointed,negative
fast process the pay time is too short,negative
"Want a ticket refund, send the form, fill in the change ticket. Have you tried different times on different days, it's still the same, write our system having disruptions at the moment, kindly try again later, OK, the refund system, reschedule tickets, even though bus tickets, how many applications, when the system loses to the orange application",negative
"the price is determined according to the price, pay specifically for Citilink, the sample is calculated for people who are right to pay, don't be good, don't cheat or not like that",negative
"If it takes a long time, the ticket price application is much more expensive than people who feel cheated",negative
"I use it faithfully, I can get a paylater limit for junior high school so I can also use it for e-commerce shopping.",positive
"This is the first time I've made it really disappointing for prawns to book a train ticket, I've already checked the ticket war, I've already paid, no verification astagfirullah",negative
"I paid for the ticket when it expired according to the e-ticket, it took really long not to issue, even though tomorrow I wanted to use it until morning, I complained, I was told to wait",negative
"simple, easy to access, use more discounts, please",positive
it's not clear what plane you want to book,negative
"buying an evocher ticket takes quite a long time, I don't know why now, even though the tf was different, immediately when the e voucher appeared, the paylatter limit never went up, as if I had never checked loyal consumers, instead new customers got strange cut vouchers",negative
all general cs connect to pay for the time limit instead check the status of the time limit cs is active only for finance pls lose the same split apk which is not complicated like this,negative
trusted place to buy tickets to go home,positive
"I ordered a ticket, I paid in full, the ticket went out, complained instead of answering the priority ticket, the day was close, I was rushing home",negative
"I swear it's like the chapter on the refund process is difficult, even though it's clear that the application was wrong, change the destination before being disappointed when I ordered the Manokwari hotel, now the plane is from Batam, Jakarta, it's crazy that the money is gone, just like the thief, what's the application?",negative
"no respect, the longer the e-ticket, the longer it is issued, the longer it is purchased",negative
"The cellphone account suddenly lost access, usually access using an iPad laptop",negative
"I hope it will be of benefit to many people, amen",positive
very satisfied with cmn bntang who value,positive
"the application doesn't work cool, the update is grandiose, it's not stupid",positive
The fun nature of the payleter transaction is the coupon,positive
very easy to help in buying tickets,positive
ticket machine so easy before the eyes,positive
very easy to get plane tickets,positive
"okay, thank you for helping accommodation",positive
very helpful everything is getting easier,positive
"very helpful, tops",positive
"the ad limit is cool, I call the ad, it's cool to play games, the ad is out, it's cool to listen to the song, the ad is out, subscribe to me since it's officially online, I'm cash stars, I'm satisfied with the service",positive
very practical to help practice walking,positive
application error not logging in looking for plane tickets please be good fast my ticket problem is in my account my account is not logged in,negative
"very helpful to order plane tickets, thank you",positive
"My paylater account is deactivated, I always pay on time. I've been selling chests, complaining, answering chat or email from the creditor, investigating my paylater account, there's proof of my payment, which is always on time, long time please fix the main thing for customer service credit",positive
"The system isn't good, even though it's already been paid, those who collect via wa",negative
all trapping services are clear the terms and conditions for using forced services using services are very trapping recommended ordering services here,positive
price change total price change idr to idr please check the details of the price continue to pay,positive
"it is mandatory for a traveler to have bought an airplane ticket with an increased price and then pay and buy the next day the price has increased k per person. This offline ticket agent still needs to play the airline application, sure you can get promos here, airplane tickets are better using the klook application",positive
"the process is quick, easy, successful, then promos for cheap tickets, don't be stingy, don't be stingy",positive
"it's just the best, the most complete application",positive
easy to use complete information many promos,positive
"really, it doesn't matter when I check out the hotel, it's Rs",negative
"BCA CIMB BRI Permata credit card, registering a paylater, even refuses to be hurt",negative
the best app for booking hotels or transportation,positive
hopefully the future the better,positive
"it's really bad, the bus ticket through the shopee vendor, the wife has already contacted the shopee bus, but it can't be connected, the money is gone",negative
"Which holiday friends always use the train ticket application for comfortable hotels, tourist attractions, love",positive
very easy to use highly recommended,positive
"it's not clear, already transferred via BCA, fill in the money balance, upload the proof of payment, wait for more minutes, it's almost an hour, the money balance comes in, the notification is waiting, how about this, the system is slow, the customer service bot, the money paying robot hangs",negative
"It's hard to register, I've entered the code but still not many times",negative
it's so simple now thanks to success y,positive
travel easier thank you,positive
This app is very helpful for traveling,positive
"I am very disappointed because I bought an Air Asia plane ticket to refund my family's money for more than a million, if the service is good, please help",positive
"It's complicated to log in, I don't recommend the app badly",negative
"very good, the features of the plane are complete",positive
the most recommended is to rent the best of the best hotel,positive
reschedule tp pay so x return the funds,negative
"the system wants to reschedule, how come it's really difficult even though the flight is already next week, if you reschedule on Tuesday, you don't change it",negative
"simple, order hotel tickets, choose many, be trusted",positive
"Buying a ticket says you can get points, uh, when you buy it, where are the zero points, it's not clear",negative
"just updated, how come it's getting worse, I want to see ticket prices, so I'm annoyed with the service",negative
At first I was afraid to buy tickets here but really trusted,positive
"the best, hopefully there will be lots of promos for hotel voucher tickets, even cheaper",positive
the easiest ticket boking thx,positive
how come paylater is active but can't be used huuu,positive
expensive transfer rates some banks are of course often a problem,negative
thank you for the easy reservation,positive
"It's hard to log in, just waste time, don't use it",negative
"My sister's customer service is very solutive, I don't care, I'm friendly, all of a sudden the phone turns off, I'm very polite at all, when I call, I raise a problem that ends with a loss of work, an idiot.",negative
crack application open server problem day by day,negative
"please help with the verification process, I paid, but failed to verify the system was good, I was able to report hours ago, but the results",positive
"thank God, the process is easy, safe, thank you",positive
very easy to help boking hotel transportation,positive
playing resheadule people just not clear,negative
very helpful with paylatter thanks,positive
"great, thank you very much for helping the community to continue to be successful in the future",positive
"it's cool, after making a reservation, there's no problem, if there's a problem, the info helps get a good solution, always successful, thank you",positive
"Adding a cellphone number is really complicated, the SMS verification number doesn't send it",positive
kreen at the price of the active period thanks,positive
"dodol, already entered the email, the first cell phone registered last year, the pandemic position abroad, paid for the room for an important event h, the room phone is not available, the return balance is safe, the usual traveler has changed his cellphone number",positive
easy application to buy plane tickets,positive
"You are responsible for the viral ones, you don't go home to Japan, the schedule doesn't change, you don't refund, you're wrong, you don't want to be held responsible",positive
really helps all situations of first time people,positive
very helpful so it's easier to get information on the schedule of ticket prices according to the destination,positive
"it's great to serve the paylater, the admin fee is low, so it's not too expensive",positive
thanks for the great app,positive
"it's good, just update the apk, it often closes itself, opens it",positive
nice app and very easy to make your vacation,positive
"always use it if you want to book a plane, very satisfied",positive
weird I can't log in,negative
so reliably hopefully better,positive
nice add some more attractive promos,positive
applications that are not two really help need flight tickets,negative
"the service was very bad, said Ivan, contact cs travel bill, please wait for the refund info, the amount of the initial overhaul ticket was byr, meaning the cut from the airline with big insurance must be responsible for losses from the travel party, the Sriwijaya Air airline, the flight cancellation was very disappointed, the travel agency provided a refund process, it took too long",negative
"amazing, very helpful for ordering hotels, thank you",positive
"one day living in a village so the signal is a bad area, I want to go to the city to order airplane tickets to stay in the city, fortunately I immediately look for m banking to pay, which is very practical, fast",negative
thank you my maybank for booking,positive
"it's starting to not be clear, paying is always smooth, late days, never but now the virtual number to ask for data updates has all given the original, what application do you want",positive
never used it so just love it first,positive
"I'm not surprised that the paylatter limit went down, even though I paid on time, I didn't use it, even though I paid double, the party didn't provide a solution to complaining that when I asked for data, the problem wasn't resolved.",negative
"since the first family, if you go, always order tickets, the way to order is easy, guarantee a refund, even though it has sold out",positive
"I want to use the transaction so I'm worried because the comments are a lot of one star even though it's going to be a crowded holiday season, of course the service is getting worse, the customer who doesn't feel like checking in, but how come the one who checks in is a mess",negative
"sorry, downgrading it to one star, the paylater doesn't go to the appropriate data base, even though the data is correct, uninstalling deletes all data",negative
"easy, cheap, pull discounts, lots of choices",positive
"very helpful to find a hotel, happy hotel rating on suggestions, total number of room prices, book a night's stay, easily find a hotel according to the budget, length of stay, hopefully more stays in the pencil area, join",positive
"The ticket has been paid, suddenly it's canceled, I want to reschedule, but the application keeps bothering me",negative
very helpful need a holiday thank you,positive
thank God the way is easier,positive
good easy mes promo tickets,positive
my my my heart beat to be,positive
now it's slow pei first ordered the hotel voucher it came out quickly now it's slow I'm sorry what application,negative
a lot of coups don't use a lot of points don't exchange what's the point of trying if the function is just a weird weird decoration,negative
steady process fast thank you wassalam,positive
no recommendation never download,negative
"has a limit without using a virtual number, even though the platinum level has a limit, you don't use percent, you don't use it strange",positive
"frequent errors, the application has been uninstalled and back and forth, it still has an error",negative
make it easy to walk a lot of promos,positive
"I change to star e the final ticket appears, thank you for your help",positive
"satisfied with the service, thank you, I used it, it never failed",positive
now I'm giving four stars before I ordered a ticket for the rescudle application to return the ticket fee,positive
I give my stars cs hihi keep up the enthusiasm cs,positive
very helpful if you want to order tilet,positive
"expensive, cheap, paylatter splitting app that pays well, health status arrives, can't use switching apps, splitting is clearer",positive
"want to log in using a telephone number because the email that the account uses is active, remember the password, the intention is to change the account email",positive
"good refund response, thanks min",positive
loyal friend of the outer island service,positive
"it's the first time to try it first, hopefully it's good to serve",positive
"it's not clear if the application is just php, if you don't pay, when you refuse, it's very complicated, beele tele, don't use a credit card, score, never owe anywhere, check the percent since uninstalling, it's illegal, children and grandchildren, because using the moving application is crowded, the application splits the paylater garbage application, it's a hoax, delete data, watch out I abused it. I burned down your office. I'm sorry I took so long to order airplane hotel tickets here",negative
"Basically, I want to cancel the inpatient message, choose the wrong time, when you understand the problem, if you are selfish, close your eyes, care about your subscription, stop using it. You have to understand that if people choose the wrong choice, close, maybe pay paylatter, you think using a message",negative
very helpful to find hotel transportation at the price of the day according to need,positive
it's bad to let go of responsibility for customer complaints,negative
the point system is not really bad partner is not profitable,positive
no one is the best,positive
trying to book an inn near the campus of cinta eh success,positive
easy all need transportation accommodation,positive
decent level please level the payment link so the error returns,negative
"it's easy to use, the refund process is fast",positive
"everything is so easy, then the application trusts",positive
"bad paylater, valid entry address, still told to enter a valid address, the call center doesn't provide a solution",negative
"be careful for those who order cheap accommodation, many don't cooperate anymore, but the advertisements are the same as nature asking for additional fees when checking in",positive
"I apologize for the service work, Pylater times, the data is correct, thank you for not trusting the party, asking for the data to be lost",negative
if I open the application I always enter it I play a game eh suddenly I even enter the application it's really annoying you know,negative
thank you very much for helping to get tickets easily,positive
the application is very helpful,positive
"The apk is good, the price is confused with the paylater criteria, don't pay my balance",positive
"the app is very helpful, it's a shame that ticket prices appear cheap when you're tired, fill in all the data when you want to pay, the price increases x times",negative
The app keeps bothering for June,negative
is the best comfortable biking tickets,positive
nature as a tourist entrepreneur taking care of the household,positive
"always easy, functional, always steady",positive
very helpful really really okay,positive
lots of vouchers like it really thx,positive
"booking apartment on full day confirmation of check-in hours, information for the property owner, the contact location that is listed, precisely the trav platform, the new hour was responded to, moving units and even moving towers, asking to wait for hours, very disappointed",negative
happiness always also hold on long and healthya barokah from god allah the lord of the one who is the almighty okay where on now,positive
"I really like using the application because it's very easy to make travel transactions anywhere, thanks",positive
so good way for allhadullah,positive
want to pay bills via m banking often bca who pity using himbara bni Mandiri bri always problems,negative
Redemption of vouchers from Mandiri is not clear,negative
"Finally, it's really hard to log in, why is it different from the plane ticket application?",negative
"I'm disappointed that I'm late paying the level day and the limit drops to a large level, so the limit is disappointed, I've already paid the fine, I'm late, I'm disappointed",negative
"don't worry about the length of the ad, cont",positive
"good job, please activate paylater, really need a road outside the area, which is almost a month away, thank you",positive
"okay, use the application if the price is cheaper",positive
"it's really bad, transfer via virtual account, the balance doesn't go in, the balance is gone, damn it",negative
Eating money that is not sincere is illegal. Wise law wins. Watch out for cheating again,positive
"the programmer is stupid, the application has lots of popups, it makes the game complicated",negative
"very easy to pay, easy to sell",positive
"then how do you order plane tickets, pay for tickets, good service, thank you, good luck tricking people into joining",positive
really cool it just works i have a great time using this app as a service,positive
"When you pay via transfer, it has to be at 12:00 hours. If the one who wants to buy a ticket is a person, which city is the ATM, if it's far from the city, there's no ATM, so how hard is it, right?",negative
always optimal for public service,positive
"I just updated, I ask for an update, an application update, if it hasn't been fixed, don't share it, let me update once a month",negative
"it's easy to buy tickets, hope all goes well",positive
thank you very much very helpful,positive
"The UI design is confusing in terms of service, it's too slow according to the rescheduling motto, it works for a period of months, it's been cleaned up, all aspects, both in terms of application design, are easier, comfortable for the service system",positive
"for a refund, it's difficult to verify, g sent via wa then the time runs out",negative
very good application very helpful use it,positive
"please return the funds, don't take too long to pay with money, you need to buy a new ticket, the airline is good, just cancel the flight, refund it takes a long time",positive
"the virtual number doesn't work, even though the transaction is smooth, the payment is never late, it's strange, the application, if you don't shop outside the application, don't make it, you want to go bankrupt, use lots of styles, it's no wonder you can't compete with the ones that offer discounts",negative
choose to pay bri always maintenance when it's good,positive
very bad booking arrived the price immediately changed,negative
"the road is so much easier, thank you",positive
still by hotel ticket is more exciting,positive
fast ordering process easy fast rescheduling process,positive
"traaveloka was really slow to respond to my serious problem so I transferred the wrong nominal, sent proof, didn't reply, I've been waiting for minutes",negative
"lots of cuts, new refunds, TF refunds, you need to push the auto cut, it's a lot of sadness",negative
"easy transaction, definitely go safe, thank you",positive
"it's really cool to help those who like traveling, the game is really cool",positive
promo notifications die lots of spam email edits no clear effect not a bug on purpose,negative
"it's bad to update, it's buggy",negative
keep improving to be better,positive
A refund for more working days isn't your blessing,negative
Very good fast application response,positive
Hotel ticket book developers greatly benefit from the continued level of application quality features,positive
"it's very bad when we ask for a refund, refuse to check in, even though we checked in before the time of leaving with the party, contact the lion, it's clear that the checkin has been done by his own party so that he returns the money, the service is bad, very bad, playing very bad",negative
"it is difficult to pay payroll bills, the payment method is not clicked, d is selected, the end is subject to a fine",negative
"don't ever want to buy a bus ticket, it's not clear, it doesn't respond outside the city, there the phone number doesn't respond",negative
"Steady, continue to develop innovation, both the waiting service application",positive
"Bad apps are too complicated to go around here and there, returning a refund should be the right to have funds",negative
"How do you contact the cs, how do you respond, for example, if it's a problem",negative
dev added a payment method using an easy paying application using a complicated money apk,positive
"it's very easy to help consumers, of course, choose to stay according to the hotel you want",positive
"good inpatient applications, lots of discount promos, right prices, give refunds to consumers' funds",positive
"It's really heavy, the application takes a long time to load, there are lots of features that you don't need, last year it was good to use last year, but now it doesn't really have an explore feature, then the main menu doesn't appear at the front, just select the plane and the hotel, when you want to find a bus, the loading takes so long, it doesn't appear at all, it's surprising, even though the signal is smooth for the application too okay",positive
"it's easier, simple transactions or hotel tickets",positive
"I'm afraid the apartment hotel is deceptive when the swimming pool is real, not disappointed at all",positive
"thank you for the response, the service is very good, the price is according to the trust",positive
"the application is very helpful, easy to order tickets here, thank you",positive
"it's easy for a spa that has a way, thank you for the service, hopefully it will be even more successful, amen",positive
promo promo please add min,positive
"ask clearly for the paylater limit to go down, update the system that has an error, what application did I ask to return the paylater limit, at first it got really bad, the system how can the system develop, the customer's business runs away, everyone checks the account, the limit returns quickly, start",negative
"Good application, very helpful, add content that makes it less comfortable, like a type of insurance, choose to fly one of the insurance, immediately choose to be observant at the loss of consumers, if the insurance is good, it's easy to claim, it's no problem having your own nature, diligently using insurance, the road is slow, the claim airline is very complicated, it's easy to register",positive
"Changing the cellphone number is difficult to delete the application, it's not clear",negative
"choose reschedule, change the departure schedule, but after selecting no flight schedule, the date you want to change after using the account, the departure schedule is according to the destination date you want to go, so you are forced to cancel the departure, deduct less than the price of the return ticket, money, the time period of the month, just reschedule, just display fraudulent consumers",negative
thank you very much for helping travoloka once way,positive
no more cinema,negative
"I want to find a Saudi flight ticket, Romandhon month",positive
x sen hotel there is a fictitious fake hotel x sen hotel lg there told me to pay told me to add x cents the bus didn't help reschedule even though the date had passed,negative
"Please, delete the e-wallet money, it eats up a lot of victims, you know, if the money isn't trusted anymore, just delete it",negative
downloading the application always try always error,negative
very helpful in finding hotels and planes,positive
this app perfect for traveling,positive
"for advertising, it always interferes with activities, satisfied with serving, disappointed, disturbing the advertisement",negative
very helpful if you want to go,positive
Always order the e-ticket delayed either,negative
"It's bad, but the hotel room is full, so the funds don't go straight, instead I'm told to wait for a working day",negative
"Wow, I can't use the BCA mobile payment method",positive
"My paylater account is okay, suddenly the block doesn't progress, it's the same as playing the consumer, based on suspicious transactions, people don't make any transactions, it's really okay, check the teamterkaiteror system",negative
try missing Indomaret choose pay because it's often offline,negative
"Incomplete payment method, lack of payment instructions",negative
"When you want to pay, it's hard to pay, the payout code always comes out in the initial menu, then how do you want to pay, or is it on purpose so you want a late payment fine",positive
"eats how come it doesn't open even though it keeps updating, it's good if it's not good just delete eats",positive
"updates, changes to flying hours, updated notification applications, notifications via wa are very vulnerable to scammers, so suggestions for changing updates must be immediately applied",negative
"Please, don't just play up and down the limit as you like, you need a customer, if the payment isn't smooth, the rest of the limit is suddenly good, it's lowered, so even though you're paying smoothly, you don't have any arrears, you don't want to give the customer's limit, I really want to play with this app, it's the customer's responsibility to use it up and down often the limit is delicious, disappointed for a long time without using it, it makes me tired",positive
miss payleter g go even though already subscribed,negative
"Order a ticket for the price of tera thousand contents, pay directly, write down the ticket price, change it",negative
everything is so easy to be successful always move forward,positive
"the otp is not clear, it's always wrong",negative
"very disappointed to serve when leaving the airport according to the result of a burnt ticket, so departing specifically for Citilink, very disappointed, very disappointed, mild",negative
"do the transaction, pay for the hotel on May with the paylater directly x pay, take the installments for your month's installment system, admin for cheating, what do you do with it",negative
"The application is very bad, asks to open a frozen account, no response, you just pay, which is very expensive, telephoto",negative
always be successful for you,positive
"It's not clear, I just want to pay, the good ones have already been topped up, but I can't help, what's the balance like?",positive
"it's very easy to get a ticket, it's complicated, just press everything, it's done",positive
serving the easy process is very helpful with the paylatter,positive
very helpful application thanks,positive
very helpful very very good,positive
it's really cool to get a reward,positive
jossss recommended order what is complicated,positive
dear paylater please help to activate paylater because I have ordered a hotel x cash no paylater funds can be used thank you please respond,positive
tired tired of taking care of billing now when needed even though I can activate the visual number always try again hours even though the big limit is useless,negative
"hello, sis, holiday at the Ciletuh Geopark beach, Sukabumi, staying at Villa Ikbhar Ciletuh",positive
"I've never been disappointed, I just want to buy a ticket, it's complicated, the system always fails, the data, the message, the contents, I don't know what it means, please fix the apk",positive
"Want to buy a cinema ticket, how come you write, you get a system problem",negative
cheap prices are very helpful and trust,positive
"prices are always cheap, good luck truss",positive
"the level has dropped obviously, even though the payment has been in arrears, I'm disappointed, I ask for a better level of professionalism",negative
"flight bookings are good, hopefully the system level will be higher",positive
"The application is disappointed that booking airplane tickets, paying for it doesn't verify, which is waiting for working days for the funds, if it doesn't automatically tell the bank to bother the application",negative
Hopefully there will be more free bonuses in the future,positive
"cellphone number, the password is wrong, even though I change it, it's still wrong",negative
thank you very much for helping everything so much easier,positive
"stupid, just verify, repeat, trs",negative
"As a user who is already a year old, there really isn't a problem logging in smoothly, buying plane tickets or hotels, disappointed to check in online first, check in online, for now, the message hasn't appeared several times. The usual check-in online, even though the flight time is less than an hour or the hour before it appears. write e issued ticket so don't check in online at all",negative
very good apk for those of you who don't like queuing apk is very suitable for ordering then online until the hotel just checks in,positive
"guess the initial prank, fill in the price data, don't change the click to pay, how come the price suddenly goes up, I don't think dear castumer, please don't believe cheap tickets",negative
quite satisfied not promo cheap tickets,positive
"good, hopefully the trust will be more successful",positive
"please be more tidy with the travelaka hotel business, don't differ in price when you check in",positive
continue to fish new updates spy subscribe increasingly satisfied with the service,positive
"it's difficult to pay for qris outlets near difficult times, the maximum is more than paying for BCA Mandiri",negative
paying for a retail shop like Alfa and Indomaret is like a hassle if you want to pay,positive
"always refuse to apply for a paylater even though the data is really surprised where it's wrong at the shopee pay later gopay later all cm only fails strangely, the data base is complete even though it's already appropriate",negative
"okay, very fast, very helpful, not full",positive
"I want to ask about the cinema features of the application, even though it's easier to order cinema tickets",positive
"beware there are many traps for the application to order a date ticket due to obstruction of attendance, the deadline for refunding money is dated, right, it's funny, ordering to pay for the date, the application is full of traps, eating custom money, it's just",positive
"easy to use, very helpful to find hotel tickets",positive
it's easy to find accommodation in urgent conditions,positive
