,FINAL_FIX,sentiment,confidence,label
70,kena tipu hotel hotel aplikasi ikut map nya hotel alias tipu cukup kecewa bahkan ngurusnya ribet banget alias ga uang teman hati hati klo unduh aplikasi sesuai standar bayang hotel palsu lolos lisensi percaya aja,0,0.9999277591705322,Negative
71,hhhf elissa mm mm mi o,0,0.999906063079834,Negative
72,harga hotel suru bayar lg biaya pajak,0,0.9998801946640015,Negative
76,buruk sekali makan hak orang,0,0.9999281167984009,Negative
81,terlalu bantu cs nya susah banget jelas susah proses batal refundnya perlu banyak baik buat pesawat kalau kereta lumayan not bad,0,0.9999270439147949,Negative
82,tiket poin nya kok ga dipake,0,0.9999369382858276,Negative
83,pesan kamar hotel dr sini pake debit tiket gagal terbit refund duit sy kagak balik,0,0.9999287128448486,Negative
88,sama kemarin bayar via transfer cuma bca mandiri npa ngak tambah bri kek gtu,0,0.9998784065246582,Negative
89,ubah bintanya kesal hati hati beli tiket aplikasi jebak otomatis beli asuransi otomatis padahal tadi ceklis bayar baru nampak komplain email cs mau bantu,0,0.9999262094497681,Negative
91,mau reschedule urus sendiri lama,0,0.9999326467514038,Negative
96,tanggap masalah cepat respond cs muas,0,0.999932050704956,Negative
98,sangat d sayang sekali krn laku update aplikasi laku login akun muncul popup notifikasi maaf sedang ganggu adapun sy login sejak april,0,0.9999179840087891,Negative
100,najis proses refund lama bgt,0,0.9999269247055054,Negative
101,asuransi terbang jangan otomatis pilih dong kesel banget defaultnya harus asuransi jangan defaultnya malah asuransi penuh,0,0.9999305009841919,Negative
102,kecewa tdk bs direfund n reschedule rugi byk,0,0.9999209642410278,Negative
103,sangat kecewa pakai payletter booking tgl udh tagih tgl bahasa tagih payletter sangat sopan padahal blm jatuh tempo sangat kecewa maaf paksa aku hapus tq,0,0.9999309778213501,Negative
105,utk komplen susah semuanyaaa robot jawab akhir hasil lewat robot telpon cc ganti review bintang nyata bukan robot kok yg telpon,0,0.9997990727424622,Negative
106,aplikasi ringan mudah simple harga sesuai promonya jg bayar flexible,1,0.9997001886367798,Positive
109,knp terang nya terbang tdk sedia yaa pdhl aplikasi belah terbang tanggal yg sy mau,0,0.9998828172683716,Negative
111,aplikasi lot laku cari lokasi terminal kayak guna hp gb aplikasi lancar lancar aja,1,0.9935716390609741,Positive
114,paylater nya kurang ajar bangettt nagih ga punya sopan santun depkolektor liar padahal bilang telat sibuk kerja akan tipu nama paylater nya indodana jgn pernah pake aplikasi kurang ajar ga punya didik tagih customer anggap semua customer telat sama,0,0.9999394416809082,Negative
115,ku kira jaring internet ku lelet nyata aplikasi nya lelet hadeh ga jadi deh beli tiket sini,0,0.9999306201934814,Negative
116,sistem operasi nya lama banget,0,0.9999314546585083,Negative
117,poin ga pakai tiap mau pakai poin selalu minta verifikasi nmr tlpn isi gagal tulis nomer guna akun jawab,0,0.9999115467071533,Negative
118,sangat manfaat mungkin aplikasi kecil makan ram telp krna aplikasi terkadang loading nya lama padahal status internet stabil bahkan g,0,0.9999299049377441,Negative
119,kurang bagus lot sekali pas mau cari bus pesawat sinyal kencang ngebuka apk cepet cuman lot sekali,0,0.9999270439147949,Negative
120,kecewa proses refund yg nunggu lama danternyata gagal nunggu lama sekarang blipay nya malah ga buka,0,0.9999315738677979,Negative
121,sdh lbh minggu masalah sy blm solusi,0,0.9999246597290039,Negative
122,sangat gampang guna susah customer servicenya sangat bantu fast respon,0,0.9998261332511902,Negative
123,opsi bis travel ga fungsi yg fast respons cuma tiket pesawat kereta hotel sisa lelet,0,0.9999109506607056,Negative
126,mungkin tipu bayar dp dulu boking villa,0,0.9999266862869263,Negative
127,gua udah kali nge war gak dapet dapet padahal tinggal sedikit payah nih tiket com,0,0.9999377727508545,Negative
128,mantap milik tanggung jawab baik guna aplikasi,1,0.9991838335990906,Positive
129,perangkat dukung lanjut aplikasi tiket paylater maksud apa jelas lebih,0,0.8995408415794373,Negative
130,males banget tiket udah depan mata pas bayar error mulu mending make apk,0,0.9999127388000488,Negative
131,tinggal laku bayar lanjut terus utama event besar x kecewa hilang bot sistem kasihan orang yg pingin nonton beneran,0,0.9999223947525024,Negative
133,sangat buruk beli tiket laku bayar gagal melulu laku bayar,0,0.9999260902404785,Negative
136,lepas tangan masalah refund gudfest yg batal solusi pdhl beli tiket,0,0.9998160004615784,Negative
139,mes tiket tanggal malah keluar tanggal bayar tiket hangus aju salah apk customer care nya pihak maskapai hingga sujud lutut kabar mohon karna cukup uang beli tiket sakit hati karna orang tua ikut menang,0,0.9999294281005859,Negative
141,nunggu buka pas klik pesan batas orang klik coba ulang ulang tau tau habis,0,0.9999241828918457,Negative
143,buruk ticketing ina vs argent,0,0.9999121427536011,Negative
144,payah pesan tiket bola ganggu pas lancar eeeh malah habis,0,0.9999263286590576,Negative
145,moga mnjdi tiket online amanah,1,0.9998648166656494,Positive
146,biaya reschedule pesawat terlalu mahal banding platform,0,0.9999164342880249,Negative
149,paylater jangan kerjasama indodana pelit sombong bukti nya susah acc,0,0.9999327659606934,Negative
150,sangat kecewa download aplikasi cari jadwal terbang sama sekali suruh cari tanggal terbang laku hasil nya nihil cari jadwal terbang lalu web banyak sekali pilih terbang pilih pikir sedikit aneh developer memyediakan aplikasi makan memori hp guna sama sekali,0,0.9999098777770996,Negative
151,refund nya jangab mundur rin terus waktu bulan lebih ga proses kirim refund nya udah potong banyak refund nya lama oper sana sini,0,0.9999363422393799,Negative
152,aplikasi beri jelas rinci kait refund ikhlas kan tiket nya hangus jelas lanjut pihak tiket inap,0,0.9999217987060547,Negative
154,kata sistem baik pas mau masuk menu bayar malah gak tiba sold out,0,0.9999141693115234,Negative
155,capek nungguin tiket argentina pas mau bayar gk kontolll,0,0.9999216794967651,Negative
156,kalau bom siap jual tiket even bola jngan maksain pas bayar masa coba coba payah,0,0.9999179840087891,Negative
157,bagus harga tiket lebih murah aplikasi,1,0.9997623562812805,Positive
158,aplikasi taik ngisi kota tuju aja ngebugg,0,0.9996917247772217,Negative
159,sumpah kapok beli sini tkp gak jelas parah bangt gak jelas gak ceto gak untung kapok,0,0.9999324083328247,Negative
161,hotel yg lokasi sama aplikasi,0,0.6761804223060608,Negative
162,jelek kembali dana lama skli,0,0.9999406337738037,Negative
163,yant tiket bus ga aksea dong,0,0.999876856803894,Negative
164,mau tarik tunai saldo blipay rekening gak transfer udah nunggu hari proses kata maksimal hari gimana ga saldo masuk rekening tuju,0,0.9999204874038696,Negative
165,aku guna setia makin kesini makin buat ku kecewa,0,0.9998599290847778,Negative
166,laku bayar sdh mndpat email vhek in hotel trsbut ktnya data ga gmn uang mau kembali gmn,0,0.9999121427536011,Negative
167,moga dapet tiket indo vs argen tgl juni,1,0.9995167255401611,Positive
168,baru mao download karna platernya tp rating buruk wwkwk,0,0.9999343156814575,Negative
171,volgens mnr van die maand van jou lewe te hou vir iemand anders se kant toe kom of gaan kyk,0,0.9998307228088379,Negative
172,point ga pakai kak mohon bantu tulis verifikasi hp padahal nomor sesuai tera jadi nomor guna akun padahal cuma akun mohon solusi admin,0,0.9999018907546997,Negative
175,mudah simple harga yg bayar sesuai tampil menu beda aplikasi belah yg harga menu pas bayar jadi ubah,0,0.9997581839561462,Negative
176,nya booking hotel h hari h minta refund krn event akhir pemberitahuan lebih,0,0.9999212026596069,Negative
177,berapa kali pesan tiket pesawat sini alhamdulillah oke punya,1,0.9997233748435974,Positive
178,maaf uninstal lemott bgttt bikin emosi,0,0.9999372959136963,Negative
179,apa beri waktu bayar cuma menit,0,0.9998069405555725,Negative
181,parah sekarang menu reschedule cuma pajang asli gabisa semudahbl kata kendala gatau kapan selesainye ujung suruh urus sendiri nel maskapai heloooo ngapain w beli elu kalo gamau repot ngurus payah lo uninstal fix,0,0.999936580657959,Negative
184,sen travel sesuai deskripsi aplikasi kendara yg pakai lokasi travel kapok,0,0.9998457431793213,Negative
186,hello app developer why i cant redeem the ticket points jun could you please to fix this issue soon please do n t ask me to update the apps relogin or clear chace it is all about your problem and i do n t need to waste my time thank you,0,0.9998910427093506,Negative
187,akun tbtb paylater nonaktif padahal masalah langgar kaga jelas tiket com transaksi lancar,0,0.9998683929443359,Negative
188,pas aku mau bayar selalu bayar akhir,0,0.9999086856842041,Negative
191,males banget tiap mau liat harga tiket webnya pake pc log in dulu mau cepet malah jadi ribet,0,0.9999340772628784,Negative
192,respont wa nya sangat bantu tiket point ga guna suruh vertifikasi nomer gabisa,0,0.9998857975006104,Negative
194,aplikasi bus susah bener ketik nya kaya gk beres nich aplikasi,0,0.9999263286590576,Negative
195,lot banget aplikasi mohon tingkat,0,0.99992835521698,Negative
196,kecewa banget sama aplikasi tiket gak proses alas email typo kan masuk wabsite nya pake email masa gak bantu yg penting kan bukti transfer sama nama mes nya sama,0,0.9999208450317383,Negative
201,kecewa beli tiket kereta jateng jkk udah bayar nyata gak tiket alas status timeout oembayaran padahal transfer sukses gilir refound ber tele tele proses iklan nya aja kata cepat proses fakta nya beda sama aktual status refound tgl mei undur jd tgl mei tgl cek apk nyata status kadaluwarsa tlp lg cs nya nyata daftarin ulang utk refound lucu banget sih duit gak berapa cuma gk itikad baik utk proses,0,0.9998526573181152,Negative
202,udah booking villa tiba dapet telpon buat dibatalin alas si villa nya naik harga,0,0.9999345541000366,Negative
203,apk sangat bantu yg sering keluar kota moga paylater sering baik jadi tempat butuh,1,0.9991198182106018,Positive
204,kecewa full bayar hotel chek in kamar penuh semua direfund,0,0.9999195337295532,Negative
206,aplikasi apa sih ngelag bgt kl buat nyari parah pdhl udah ram emng kudu ram berapa,0,0.9999239444732666,Negative
208,min dik tiket indo vs argentina yaa,0,0.9992973804473877,Negative
211,aku udah pesan tiket pesawat karna kondisi situasi dukung jadi aku refound ujung cancel duit bos padahal butuh nya duit kecewa banget pake aplikasi,0,0.9999302625656128,Negative
213,benar aplikasi nya cukup baik jadi salah baik dr system dr usernya admin beri solusi yg baik win win solution baik akun yg level newbie level audah bronze tetep sama aja solusi baik masalah,1,0.9988631010055542,Positive
214,gmna sih udah bayar pake virtual account tiket ga dikirimin emang butuh waktu berapa lama tiket kirim alamat email,0,0.9999326467514038,Negative
215,baru mo coba guna app tp ulas gk yakin so uninstall lg deh,0,0.9999314546585083,Negative
221,harga aplikasi sesuai tempat kasus hotel,0,0.7045813202857971,Negative
228,parah bangett dah ngelag skali sumpah bikin gue emosi,0,0.9999393224716187,Negative
230,eror mau pesan tiket bus malaha gabisa ketik titik berangkat tuju udah bolak balik unistal tetep aja baik,0,0.9999047517776489,Negative
231,jangan pernah beli asuransi inap hotel tolak inap uang full tetep potong pajak pakai asuransi gak kompensasi,0,0.9999237060546875,Negative
234,apk bingung mau login ga pesan ga daftar ga padahal udah update selalu notif sedikit ganggu,0,0.9999297857284546,Negative
237,no nega nego info tiket gratis bos,0,0.9998918771743774,Negative
238,kok order fiktif akun padahal ga mesen tiket apa aman akun gimana kalau akses orang,0,0.9999288320541382,Negative
239,aplikasi kecewa laku bayar lalu metode virtual akun tiket bom konfirmasi kata beda invoice jumlah transfer jelas jelas pake kode virtual akun tera aplikasi kacau,0,0.999927282333374,Negative
241,coba deh adain fitur koleksi mudah waktu waktu sempat inap lupa nama hotel simpan koleksi sering lupaa,1,0.6704049110412598,Positive
243,aplikasi buruk duit refund ticket tix holder sengaja tutup mata,0,0.9999074935913086,Negative
244,parah lot nya mau ngetik aja kluar keybiard nya lambat,0,0.9999363422393799,Negative
246,tiket poin yg terkumul sama sekali guna verifikasi nomor handphone yg padahal akun sendiri nomor sendiri tpi kata nomor guna akun so freak,0,0.9998726844787598,Negative
248,kasih bintang tiba dana nonkatifkan nga jelas,0,0.9999302625656128,Negative
249,bad experience pas war tiket konser ngelewatin step ribet riweh makan waktu blm pas web nya error ulang dr awal moga baik biar lbh simple thx,0,0.9999289512634277,Negative
250,aplikasi tipu nih list harga emang murah murah pas mau laku bayar selalu gagal tadi kira masalah sinyal wifi data nyata aplikasi masalah,0,0.9999097585678101,Negative
251,aplikasi sangat canggih mudah paham mudah mes tiket pesawat,0,0.999883770942688,Negative
254,lepas tangan refund tiket gudfest,0,0.9997976422309875,Negative
255,buat bayar tiket guna credit card selalu,0,0.99978107213974,Negative
260,responnya sangat cepat sangat bantu banget knp yaa mau proses bayar selalu ganggu error,0,0.9999221563339233,Negative
261,the best krn selalu bantu,1,0.9998077750205994,Positive
262,media partner beli tiket konser sangat saran beli lalu tiket pihak tiket mau tanggung jawab lalai nya lepas uang beli tiket konser nya cancel gudfest hingga sekarang uang sebut refund,0,0.9999239444732666,Negative
263,sangat tanggung jawab proses refund gudfest beli bayar tiket acara batal uang bayar langsung kembali promotor sekarang promotor kabur uang juta gimana nasib,0,0.9999301433563232,Negative
267,kecewa baru skali mau reschedule aja gabisa galagi dah,0,0.999933123588562,Negative
270,sekarang gak utk sen tiket playground lg spt kidzania zoomoov,0,0.999910831451416,Negative
272,puas apa beri banyak promo nya,1,0.9996243715286255,Positive
274,apps paling jelek pernah gua temuin tulis nya reschedule refund nyata sama sekali,0,0.9999234676361084,Negative
275,lebih mahal apk kata jamin harga murah nyata bohong aju claim jamin harga murah tolak padahal aju klaim jht sesuai prosedur,0,0.9999117851257324,Negative
277,aplikasi bego sesuai pesan rugi sen tiket sini,0,0.9998929500579834,Negative
281,lepas tangan masalah refund gudfest batal solusi padahal beli tiket aplikasi,0,0.9999065399169922,Negative
283,lama banget mencet bus travel nya kalau baik stuck pasu tuju,0,0.999932050704956,Negative
284,aplikasi paling parah ngelag ga buka lot abissa,0,0.9999262094497681,Negative
285,aplikasi sangat bagus mudah cari bagai butuh tiket kereta api pesawat booking hotel ada,1,0.9995237588882446,Positive
289,rugi pesan jadi double maskapai dgn nama tumpang yg sama hari jam yg sama konyol aplikasi,0,0.9993114471435547,Negative
290,murah sekali tiket pesawat nya,0,0.9973536729812622,Negative
291,bagusss bgt mudah terus murah,1,0.9996641874313354,Positive
292,mau refund aja lama nunggu smpai sekarang kembali dana refund,0,0.9999282360076904,Negative
293,semenjak refund blipay sangat resah lama bngt uang keluar,0,0.9999390840530396,Negative
294,fitur bus travel ngelagggg banget lemottt goblog nih software engineernya,0,0.9999309778213501,Negative
295,aplikasi ngebug pencet tiket bus ga yg pilih aneh,0,0.9999246597290039,Negative
297,mau refund tiket monopoli sm management mesti trf blipy bukan rekening pribadi rekomended susah orang aplikasi,0,0.9998842477798462,Negative
299,uang tarik hasil masuk rekening ber hari hari,0,0.9997007846832275,Negative
300,skripsi kamar hotel mungkin lebih jelas saran pilih type bed kamar mes lebih kamar mungkin ikan pilih type jenis bed nya kamar yg contoh pilih doubel bed pilih twin single bed mes lebih kamar type bed yg beda laku x mesan x mesan,0,0.9993579983711243,Negative
304,beli tiket bus nyata habis saat selesai bayar online lalu uang balik hubung costumer service nya robot chat otomatis bantu hati hati kawan masalah sistem ganti rugi pwnumpang,0,0.9993547797203064,Negative
305,masalah bayar kali laku bayar lalu aplikasi selalu alas sedang alami ganggu hubung cs minta ganti jaring yg stabil ganti x tetap hasil,0,0.9998881816864014,Negative
306,apk error masak beli tiket hasil gak pemberitahuan email apk gak jelas,0,0.9999247789382935,Negative
307,sih app nya ga refund ps beli tiket hotel terang hotel sana bayar tempat pdhal bayar lewat dana loh kembali uang aplikasi jelek,0,0.9999130964279175,Negative
308,d update pilih bus travel ma shaa allah bolbal hang apk nya,0,0.9998123049736023,Negative
309,selalu transaksi sini sangat muas,0,0.9997174143791199,Negative
310,jangan guna aplikasi peras aplikasi tipu,0,0.9999016523361206,Negative
311,nnya masalah refund aja blibet banget jawab,0,0.9999278783798218,Negative
312,ngeleg parah waktu nulis tuju baik ui nya ga nyaman parah,0,0.9999294281005859,Negative
315,baik coba dlu baru tau enak apa guna aplikasi nya,0,0.9998443126678467,Negative
316,good job lebih murah mudah respons bagus,1,0.9992052912712097,Positive
317,baru kali guna aplikasi beli tiket moga tetap murah,1,0.999794065952301,Positive
318,bikin emosi mau persen tiket bus nulis alamat gak responsif as,0,0.9999315738677979,Negative
320,rata rata nilai bintang satu patut tanya,0,0.9995179176330566,Negative
321,susah ngurusnya kalo dah masalah bayar hasil mesan gagal terus direfund pn lambat,0,0.999934196472168,Negative
323,yaaa tanggung jawab atas pesan hotel nyampai hotel gak check in tanggung jawab nya jangan viral kan bawa hukum kasus tipu,0,0.9999250173568726,Negative
325,beri lebih banyak mudah info promo discount,1,0.9960348010063171,Positive
330,apk parah banget asli mau pesan tiket pesawat pas bayar ubah harga jadi beda harga dgn harga awal gk jelass apk beda sama traveloka,0,0.999880313873291,Negative
332,x daftar paylater x jg tolak yaudah auto uninstall deh mending apk belah yg jelas acc paylaternya,0,0.9999030828475952,Negative
336,tanggung jawab atas keluh konsumen,0,0.9998905658721924,Negative
337,mau pilih jemput bus malah stuck mulu,0,0.9999319314956665,Negative
338,lebih mudah lebih cepat updatenya,1,0.995834231376648,Positive
341,layan sangat buruk terbit e tiket nunggu jam refund sangat lama ujung nya zonk semua rugi pesan app,0,0.9999328851699829,Negative
343,dah lama pake krn urus refund bikin illfill udah ngisi form disuru nunggu minggu eh bulan kemudian disuru ngisi form aplikasi saing banyaaaak klo layan kek gin mending auto uninstall aplikasi deh,0,0.999924898147583,Negative
345,daftar paylater gagal terus x terang padahal data foto benar kalau gak niat kasih fitur paylater mending gak usah dah,0,0.9999315738677979,Negative
346,pokok nya cocok pakek aplikasi kmren sempat pakek a a harga real,1,0.99368816614151,Positive
347,hotel yg buat nyasar mapsnya gk jelas hotel gak nyesal no rekomen,0,0.99992835521698,Negative
349,refund tiket bus nya mohon baik refund nya,0,0.9998714923858643,Negative
353,bagus mudah harga miring murah,0,0.9625290036201477,Negative
354,tadi mau sen lewat sini terlalu banyak komplain jadi delete aplikasi,0,0.9999343156814575,Negative
356,biaya lindung hedeh org tambah malah otomatis harga gak satu,0,0.9999393224716187,Negative
358,alam beli tiket bus sinar jaya fasilitas sandar kaki kapasitas yg dapat bus kapasitas org sandar kaki sangat kecewa,0,0.9997546076774597,Negative
360,utk layan reroad sejak malam via aplikasi selalu error shg sbg konsumen tdk solusi maaf kesan ngga professional dlm layan keluh konsumen lalu akun asistensi auto teks jawab pokok minta konsumen sbg konsumen beri phone kontak yg hubung,0,0.9998660087585449,Negative
361,sy ralat kmrn sy kasih bintang waktu kasih angin surga sekarang sy kasih bintang aja krn cuma php,0,0.8950515985488892,Negative
362,benar aplikasi bagus gampang murah harga hotel pelit paylaternya mending apk belah ga pelit,0,0.9999148845672607,Negative
364,simple praktis soal harga cukup bagus layan nya sangat baik update pokok sip lah,1,0.9989694356918335,Positive
365,sekarang sangat kecewa dulu cs sangat fast respon,0,0.9999321699142456,Negative
366,aplikasi sangat recomended cari uang haram customer,0,0.9997925162315369,Negative
368,sangat jelek sekali pesan jemput tiba psanan sdh selesai kan jadi kalau mau guna tiket com pikir dlu jgn kena tipu batal sentujuh i gak kompirmasi sama sekali jgn guna apk,0,0.9999240636825562,Negative
370,kyknya lk lolon m bbc ntt,0,0.9932340979576111,Negative
371,sumpah ni aplikasi capek banget booking inap sini sering ketemu harga aplikasi murah pas check in pihak inap selalu minta tambah harga kata sesuai aplikasi minta lah aplikasi buat tertib tu inap kalau perlu jangan iming imingi harga murah aplikasi mana sering nambah hampir harga aplikasi,0,0.9998589754104614,Negative
372,aplikasi ga jelas bayar udah lunas hotel ga dapet pas d lokasi hotel ga kerjasama sama aplikasi ga konfirmasi awal refund ga aplikasi tipu,0,0.9999212026596069,Negative
374,sangat kecewa pesan villa booking suda bayar tolak beli tau an kecewa sekali kecewa sekali,0,0.9999322891235352,Negative
375,apa sii suruh verivikasi no hp udh dimasukin bilang nomor dipake akun apa sih poin ga bs dipake poin ga terima pas order nomor hp ttp nomer hp sy apa siii promo palsu poin dah banyak ga bs dipake buat apa coba,0,0.9999284744262695,Negative
378,mau refund karna salah tanggal malah gak refund gimana sih,0,0.999921441078186,Negative
382,cs buruk yg pernah tau pesan tp hotel full telpon cs jam sore sampe jam malam banyak x jawab suruh tunggu menit pulsa rb jam suruh relokasi edannn gilaaaa bawa anak kecil ibu woyyy,0,0.9999200105667114,Negative
383,sdh hotel bawa bayi hujan mau reschedule aja engga refund gk saking slow respon sampe full hotel,0,0.9999388456344604,Negative
386,update malah ganggu terus lah gagal muat data lah,0,0.9999351501464844,Negative
387,uellekk sekali app gk recommended,0,0.9999227523803711,Negative
389,kl utk ecek tiket oke tp kl utk order seperti aplikasi blm siap ujung nya order via mobile web jg krn susah order aplikasi,0,0.9999258518218994,Negative
390,keren aplikasi a lebih cepat paling murah kelas aplikasi a,1,0.9997798800468445,Positive
391,baru download terus buka aplikasi loading nya lama banget udah jam nunggu ga log in padahal sinyal bagus internet bagus,0,0.9999388456344604,Negative
393,ngebung terus padahal pake hp beda mau sen tiket pulang gak baik pilih rute terimakasih,0,0.9999353885650635,Negative
394,aplksinya lg knp sih mau payment hotel gk mulu reload mulu gk solusi csnya dihubngnnya susah,0,0.9999356269836426,Negative
395,sangat muas kecewa kecewa aplikasi tipu cepat bangkrut,0,0.9999328851699829,Negative
397,aplikasi scam hotel banyak scam harga mahal banding yg teliti pesan hotel lewat ni apps auto uninstall apps,0,0.9999154806137085,Negative
398,terlalu banyak scam harga sekarang mahal banding app pesan hotel hati aplikasi sering sesat baik tanggal hotel benar teliti pakai app uninstall now never use tiket com anymore,0,0.9999165534973145,Negative
399,bagus mesan refund sangat lama bangettt,0,0.9999359846115112,Negative
400,sesal mes tiket sini bayar verifikasi status tiket sedang proses lapor cs nya minta tunggu hingga jam nomor order nya ghoib jam tunggu dasar jelas tiket batal berat dana guna bakal tunggu hari depan besok lebaran oalahh sesal nya guna aplikasi,0,0.9999231100082397,Negative
401,balikin uang pesan tempat inap tempat gabung aplikasi,0,0.9997377991676331,Negative
402,gilak lot parah apk error pa gmn sih lot g karuan ampe dh ku uninstal ttp lot gila pas milih brgkt sm tuju benerin dong jangan asal kalo bikin apk,0,0.99992835521698,Negative
403,blipay tiba tiba hilang aplikasi padahal uang,0,0.9999310970306396,Negative
404,gila dipake gak buat ngetik ngelag terus padahal bukak aplikasi oke aja bye aja gak,0,0.9999077320098877,Negative
405,aplikasi mudah pergi bayar tambah qris,0,0.9996337890625,Negative
406,aplikasi ane klik malah ga gerak sama sekali,0,0.9999121427536011,Negative
408,menu blipay ilang gak pasti waktu bijak,0,0.9998304843902588,Negative
409,cs respon lambat reschedule aplikasi maskapai beda jauh harga yg x lipat,0,0.9999240636825562,Negative
412,udh booking hotel jauh hari tp pas dtg hotel gk kata gk masuk aplikasi milik hotel udh malem capek allah sabar,0,0.9999213218688965,Negative
413,diskon coin nya baru dipake pas aplikasi cuman kasih lebih dikit coin tiap mesan niat kasih diskon gasih,0,0.999031662940979,Negative
415,aplikasi paling rekomendasi nih buat traveling check in bareng pasang gaes,1,0.9998328685760498,Positive
417,cara pesan gampang recomended banget,0,0.999901533126831,Negative
418,akun daftar nmr hp lama ganti nomer pakai kode yg kirim nmer lama yg tdk pakai jd gmn solusi,0,0.9999102354049683,Negative
419,tipu sama pnginapan uda gak penginapanya uang refound,0,0.9999219179153442,Negative
